category,age,degree,university.country,employment.country,company.size,undergrad.achievement,undergraduate.need.to.learn,undergraduate.gpa.hired,undergraduate.gpa.proficiency,undergraduate.schoolchoice.proficiency,undergraduate.timeperiod.hired,undergraduate.timeperiod.proficiency,graduate.acheivement,graduate.need.to.learn,graduate.gpa.hired,graduate.timeperiod.hired,graduate.timeperiod.proficiency,BS.4yrExp.hired,BS.4yrExp.proficiency.rightafter,BS.4yrExp.proficiency.after1yr,MS.2yrBS.hired,MS.2yrBS.proficiency.rightafter,MS.2yrBS.proficiency.after1yr,undergraduate.gain.workExp,graudate.gain.workExp,alternatives,graduate.online.program,general.idea
,I prefer not to disclose,Bachelor's,Austria,Japan,I prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,He/She learns real-world problem solving handling industry-type problems.,Get the credentials and learn skills in finding a good job,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",6 - 12 months,12 - 24 months,I think that they're more or less have equal chances of getting hired.,I don't know/I prefer not to say.,I don't know/I prefer not to say.,I don't know/I prefer not to say.,I don't know/I prefer not to say.,They'll perform more or less the same.,aaa,aaa,I don't know/prefer not to disclose,I don't know/prefer not to disclose,The MS students are more prepared than undergraduate-level students.
,26 - 35,Master's,USA,USA,"1,000 - 10,000 people",He/She learns programming very well;He/She learns computational thinking,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,12 - 24 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).","Soft skills (communication, teamwork, etc);Get the credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,12 - 24 months,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,They'll perform more or less the same.,I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","Internships, research.",Taking side jobs/project that helps them apply their learnings in a real setting in addition to taking a hand-on research project with a professor.,Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
,36 - 45,Master's,Italy,Switzerland,"more than 10,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,0 - 3 months,0 - 3 months,He/She learns computational thinking.;He/She gets credentials to get a good job.,"Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,0 - 3 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,I don't know/prefer not to disclose,Time. The online program gives the schedule flexibility.,The BS students are already prepared to join the industry and they do not need a higher post-graduate degree.
,26 - 35,"Doctorate (PhD, Doctor of Science, etc)",Italy,Italy,20 - 100 people,He/She learns computational thinking,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.",I think that a top-tier school makes a graduate fundamentally better at his/her job.,3 - 6 months,12 - 24 months,He/She learns computational thinking.;He/She learns project management.;He/She gets credentials to get a good job.,"Programming in different languages;Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get the credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",3 - 6 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",,"Teamwork, internships, exchange programs",Retraining on the job.,Time. The online program gives the schedule flexibility.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,Italy,Italy,below 20 employees,He/She learns computational thinking;He/She learns how to be a researcher,"Computational Thinking skill;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,0 - 3 months,6 - 12 months,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,I don't know/prefer not to disclose,I don't know/prefer not to disclose,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,,,Retraining on the job.,"Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,36 - 45,High School,I don't have a degree,Italy,below 20 employees,None of the above,"Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,3 - 6 months,12 - 24 months,None of the above,"Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get the credentials and learn skills in finding a good job",I think it's not relevant at all.,6 - 12 months,12 - 24 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,,,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,18 - 25,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She learns how to be a researcher;He/She gets credentials to get a good job;He/She learns the basics of programming,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);More experience in software architecture and design","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,They'll perform more or less the same.,I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,"I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","Internships, extracurricular activities, personal projects, research, etc.","Internships, extracurricular activities, personal projects, research, etc.",I do not believe retraining is equivalent to a Master's degree.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
,26 - 35,Master's,USA,USA,"more than 10,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems;Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",,,Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,Poland,Poland,below 20 employees,He/She gets credentials to get a good job,Computational Thinking skill;Learn how to be a researcher,I think it's not relevant at all.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,6 - 12 months,He/She learns computational thinking.;He/She gets credentials to get a good job.,Computational Thinking skill;Real-world problem solving handling industry-type problems,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Contributing to open-source projects, volunteer work, part-time industry jobs, internships","Contributing to open-source projects, volunteer work, part-time industry jobs, internships",Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,18 - 25,Bachelor's,USA,I'm not employed,I'm not employed,He/She learns computational thinking;He/She learns project management;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",More than one year,12 - 24 months,I don't know/prefer not to disclose,I don't know/prefer not to disclose,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",6 - 12 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that the MS candidate will stand more chances.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,Make internships mandatory,,Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
